Prototype,CZ,Vintage,Object Class_1,Object Name_1.1 / FixedWindow_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.2 / FixedWindow_Guest,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.3 / OperableWindow_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.4 / FixedAndOperableWindow_Res,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Name_1.5 / Skylight_Nonres,Field Name,Value,Unit,Field Name,Value,Unit,Field Name,Value,Unit,Object Class_2,Object Name_2.1 / Insulation_ExtWall_MetalFramed_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.2 / Insulation_ExtWall_MetalFramed_Guest,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.3 / Insulation_ExtWall_MetalFramed_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.4 / Insulation_ExtWall_MetalBuilding_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.5 / Insulation_ExtWall_MassLight_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.6 / Insulation_ExtWall_Concrete4in_Insulated,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.7 / Insulation_ExtWall_WoodFramed_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.8 / Insulation_ExtWall_WoodFramed_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.9 / Insulation_FlatRoof_MetalBuilding_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.10 / Insulation_FlatRoof_Concrete8in_Insulated,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.11 / Insulation_FlatRoof_WoodFramingAndOther_Nonres,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.12 / Insulation_FlatRoof_WoodFramingAndOther_Guest,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.13 / Insulation_FlatRoof_WoodFramingAndOther_Res,Field Name,Value,Unit,#U_Factor,Unit,Object Name_2.14 / Insulation_AtticFloor_Reversed,Field Name,Value,Unit,#U_Factor,Unit
Assembly,11,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,12,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,13,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,14,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,15,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.34,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.22,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,16,NC,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.5331590909090913,in.,0.055,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,4.04906052631579,in.,0.038,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,1,V4,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,1.2646989795918366,in.,0.098,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,3.1097479591836734,in.,0.049,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,2,V4,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.206766129032258,in.,0.062,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,3.9417730769230768,in.,0.039,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,3,V4,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,1.5812743902439026,in.,0.082,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,3.9417730769230768,in.,0.039,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assembly,4,V4,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,FixedWindow_Nonres,Ufactor,0.36,Btu/h-ft2-F,Solar_Heat_Gain_Coefficient,0.25,n/a,Visible_Transmittance,0.42,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATERIAL,Insulation_ExtWall_MetalFramed_Nonres,Thickness,2.206766129032258,in.,0.062,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insulation_FlatRoof_MetalBuilding_Nonres,Thickness,3.9417730769230768,in.,0.039,BTU/(h-ft2-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
