Prototype,Vintage,Object Class_1,Object Name_1.1,Schedule_Name,Design_Level,Unit,Control_Option,End_Use_Subcategory_1.1,Object Class_2,Object Name_2.1,Fuel_Use_Type,Schedule_Name,Design_Level,Unit,End_Use_Subcategory_2.1,Object Class_3,Object Name_3.1,Tank_Volume,Unit,Setpoint_temperature_Schedule_Name,Heater_Maximum_Capacity,Unit,Ambient_temperature_Indicator,Ambient_temperature_Schedule_Name,Off_On_Cycle_Loss_Coefficient_to_Ambient_Temperature,Unit,End_Use_Subcategory_3.1
Lab,NC,EXTERIOR:LIGHTS,ExtLights_Motion_Lab,LabExtLightingMotionCtrl,1719.8359999999998,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Lab,Electricity,LabElevator,8623.13,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,75.5444448,gal,SHWSystemSetpointTemp135,75130.7634202752,Btu/hr,Schedule,WaterHeaterAmbientTemp,16.02195818629228,Btu/hr-F,GasWaterHeater
Lab,V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_Lab,LabExtLightingMotionCtrl,1719.8359999999998,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Lab,Electricity,LabElevator,16488.22,W,Elevators,WATERHEATER:MIXED,NonResBaseGasWaterHeater,75.5444448,gal,SHWSystemSetpointTemp135,75130.7634202752,Btu/hr,Schedule,WaterHeaterAmbientTemp,16.02195818629228,Btu/hr-F,GasWaterHeater
Lab,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_Lab,LabExtLightingNonMotionCtrl,856.541,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
Parking,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_Parking,ParkingExtLightingMotionCtrl,200,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_Parking,Electricity,ParkingElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,30,gal,SHWSystemSetpointTemp135,29835.719999999998,Btu/hr,Schedule,WaterHeaterAmbientTemp,3.0024,Btu/hr-F,ElecWaterHeater
Parking,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_Parking,ParkingExtLightingNonMotionCtrl,782.541,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
RetailGrocery,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_RetailGrocery,RetailGroceryExtLightingNonMotionCtrl,1160,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
RetailGrocery,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_RetailGrocery,RetailGroceryExtLightingMotionCtrl,3680.5555555555557,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_RetailGrocery,Electricity,RetailGroceryElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,52.23599999999999,gal,SHWSystemSetpointTemp135,51949.95566399998,Btu/hr,Schedule,WaterHeaterAmbientTemp,3.5587447200000004,Btu/hr-F,ElecWaterHeater
RetailMedium,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_NonMotion_RetailMedium,RetailMediumExtLightingNonMotionCtrl,651.28461133063,W,AstronomicalClock,Exterior Lighting - Non-Motion,,,,,,,,,,,,,,,,,,,
RetailMedium,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_RetailMedium,RetailMediumExtLightingMotionCtrl,1911.8201183613,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_RetailMedium,Electricity,RetailMediumElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,50,gal,SHWSystemSetpointTemp135,70445.44999999998,Btu/hr,Schedule,WaterHeaterAmbientTemp,3.5028000000000006,Btu/hr-F,ElecWaterHeater
RetailStripMall,NC-V4-V3-V2-V1,EXTERIOR:LIGHTS,ExtLights_Motion_RetailStripMall,RetailStripMallExtLightingMotionCtrl,913.5372430951999,W,AstronomicalClock,Exterior Lighting - Motion,EXTERIOR:FUELEQUIPMENT,Elevator_RetailStripMall,Electricity,RetailStripMallElevator,0,W,Elevators,WATERHEATER:MIXED,NonResBaseElecWaterHeater,50,gal,SHWSystemSetpointTemp135,70445.44999999998,Btu/hr,Schedule,WaterHeaterAmbientTemp,3.5028000000000006,Btu/hr-F,ElecWaterHeater
